"firm_alias","mortgage_id","mortgage_expiry_date","mortgage_type","mortgage_state","mortgage_closed_date"
"Hidecreek","00a7dd8d-a4cb-4486-a1ce-b71acb24d4c1","2031-04-23","buy-to-let","open",""
"Elderless","00a7f227-b6f7-4543-a357-f16405c176da","2031-05-19","buy-to-let","open",""
"Elderless","00a8ec9b-6743-4bbc-a755-24504b8bb0c2","2025-07-31","owner-occupied","redeemed","2025-12-09"
"Elderless","00aa9a48-3e8a-4319-8589-c1ed93865795","2025-09-17","buy-to-let","switched","2025-10-15"
"Elderless","00b12d25-e78d-42de-9891-36c4980fcc45","2028-07-13","buy-to-let","open",""
"Elderless","00b50edf-da0d-43b8-90ee-03a82cce7cbe","2027-01-31","buy-to-let","open",""
"Hidecreek","00b51a5a-0ac8-4390-991c-a10e8d6183e9","2028-05-31","buy-to-let","open",""
"Elderless","00b55a7d-8c2b-448f-9bb5-dd6998e4f5dc","2027-01-21","buy-to-let","open",""
"Elderless","00b891d2-35f6-48d6-a117-640f3d61d6ce","2027-10-18","buy-to-let","open",""
"Elderless","00b92c90-6960-4b91-bcd7-661e2575ce57","2026-03-12","buy-to-let","switched","2026-01-13"
"Elderless","00bab324-fdba-4b42-ac31-5eec6a7409de","2026-05-31","buy-to-let","open",""
"Roast Ham","00be8770-c0a9-4535-9c9a-d0a38a1580ba","2028-12-31","owner-occupied","redeemed","2026-03-26"
"Roast Ham","00c4565a-410d-4bac-9c1e-f3ba7e3f587a","2025-05-31","buy-to-let","switched","2025-07-10"
"Elderless","00c4bb8a-5f4c-4d97-abdb-6b5570233f1f","2026-08-15","buy-to-let","open",""
"Hidecreek","00c5ecb8-9275-4067-a3b3-8705cf602ce1","2030-01-31","buy-to-let","open",""
"Roast Ham","00c7daac-bf5b-4201-9ad9-b20c0af76855","2025-07-19","owner-occupied","switched","2024-06-11"
"Hidecreek","00c7ef28-7fc3-4dea-bc9d-59e0717bb886","2028-03-21","buy-to-let","open",""
"Hidecreek","00c83362-9020-43bb-8e4e-d525f8f9fb24","2027-08-05","buy-to-let","open",""
"Hidecreek","00ca4aad-91de-482a-8f60-81d96d6e3259","2027-08-18","semi-commercial-buy-to-let","redeemed","2025-10-09"
"Roast Ham","00cf1018-7403-42ae-9d33-ce0c96101cb4","2025-12-31","owner-occupied","redeemed","2025-04-09"
"Elderless","00d07057-6dfa-497a-a74e-6a146db5ee03","2026-10-31","buy-to-let","open",""
"Elderless","00d0e5c0-3666-4653-96cb-d6f93bf430e2","2030-11-09","buy-to-let","open",""
"Roast Ham","00de3cd9-a77e-4c51-8965-7ef13c6b5ea2","2025-05-31","owner-occupied","redeemed","2025-06-04"
"Roast Ham","00e24984-5a69-41eb-985d-4093f0e1f950","2027-10-31","owner-occupied","open",""
"California","00e382f9-4f1d-4849-8cf1-b3a8feba0db0","2029-06-13","buy-to-let","open",""
"Elderless","00e59c70-9f42-4f0d-834e-2f9d80b832ac","2026-12-12","buy-to-let","open",""
"Roast Ham","00e5c74d-42d9-4171-ab97-226aa90cc189","2027-09-30","owner-occupied","open",""
"Roast Ham","00e943fb-f998-47dc-8b23-53e536e6c106","2028-01-31","buy-to-let","open",""
"Elderless","00ea4cee-0d56-41e0-8d90-b887e9d3c3af","2026-10-31","owner-occupied","open",""
"Elderless","00ede448-01ef-4d0b-b762-42d48896332e","2031-02-28","buy-to-let","open",""
"Elderless","00f295ea-7a1e-4ce5-b829-2fce07bb06a7","2026-02-28","buy-to-let","redeemed","2026-03-04"
"Elderless","00f80867-c8b0-4d9c-87a9-2cd219d482f9","2027-06-12","buy-to-let","open",""
"Elderless","00fbc449-f43d-408a-a568-c3227fe1444c","2025-10-31","buy-to-let","redeemed","2025-06-05"
"Elderless","00fe1e75-1bec-40d4-b8c0-884255aa1107","2027-08-29","buy-to-let","open",""
"Elderless","00fe590e-b5b0-463b-bc6c-7ff0a39081bd","2026-03-06","buy-to-let","switched","2026-04-15"
"Hidecreek","00fe9e47-bf1e-44b5-bc28-6c2a315e606b","2028-04-12","commercial-buy-to-let","open",""
"Elderless","01005209-fba7-4eed-b0b0-26bcfd95185f","2027-06-30","buy-to-let","switched","2025-07-02"
"Elderless","01012874-17f5-4fe0-9721-0eadaf4a545c","2029-08-29","buy-to-let","open",""
"Elderless","01027304-0543-49d9-955f-0f0553c56aa4","2025-08-31","buy-to-let","switched","2025-08-29"
"Elderless","01063b39-1611-4b2a-893e-edf0337a950c","2028-02-29","buy-to-let","open",""
"Elderless","0108e0d5-c133-4fd6-8b09-d13d032a6386","2030-11-17","buy-to-let","open",""
"Elderless","010aaabb-365f-4fe1-b0a9-d8719678c7f0","2026-01-31","owner-occupied","switched","2025-10-11"
"Elderless","010b3272-9114-4210-b1ec-ebe3a66f7bcb","2029-06-30","buy-to-let","open",""
"Elderless","010c3bca-fdce-409f-97ae-2b5a9f667829","2026-01-22","buy-to-let","redeemed","2026-01-29"
"Hidecreek","010e0401-9ef9-40eb-a150-662426ecda1d","2027-09-22","buy-to-let","open",""
"Elderless","0112bee7-8255-4414-923c-93e8042a50e7","2026-03-31","owner-occupied","redeemed","2026-04-07"
"Elderless","01145cc9-1bdf-4ee5-8066-c1769de71d82","2028-03-31","buy-to-let","open",""
"Roast Ham","0114f8c6-b96d-456c-878c-669427da3dad","2027-03-31","owner-occupied","open",""
"California","011abc82-e09a-4f3f-a0f7-47303151151b","2031-03-30","commercial-buy-to-let","open",""
"Elderless","011e163e-c145-405a-bda3-33a923fcee7e","2025-07-31","owner-occupied","switched","2025-07-19"
"Elderless","0120c8ce-574d-415c-871f-231ea30532e1","2026-02-28","buy-to-let","switched","2026-02-26"
"Roast Ham","01234254-36f1-41e4-bc66-023bbe5f87ca","2026-02-28","owner-occupied","switched","2026-01-08"
"Roast Ham","01296931-e9a4-40d3-885f-24d80883c41a","2026-04-30","owner-occupied","redeemed","2026-05-02"
"Roast Ham","012bef77-595c-4643-b7b4-62a6ce0fe009","2026-02-28","buy-to-let","redeemed","2026-03-03"
"Hidecreek","01349aea-6fa2-4587-980c-ae47278c03a6","2028-10-19","buy-to-let","open",""
"Hidecreek","01414f15-cd8b-4312-85d7-81387c9e0b8c","2029-04-03","buy-to-let","open",""
"Roast Ham","0147014c-395d-418d-889c-7c1e2bbf2868","2026-12-31","owner-occupied","open",""
"Hidecreek","01492924-cfee-468c-974b-d25dacba04e6","2027-06-30","buy-to-let","open",""
"Hidecreek","014d0b55-0364-4e13-a458-49a47ed81acb","2026-02-19","buy-to-let","redeemed","2026-03-06"
"Elderless","01518c30-0542-4ac4-bc9f-50d969721ba2","2026-03-05","buy-to-let","switched","2026-04-18"
"Elderless","0151ea50-df3d-4600-b489-439afc96d39d","2026-02-28","buy-to-let","redeemed","2026-03-05"
"Elderless","0159b727-beec-47b5-9453-8f8116e51b80","2026-02-28","buy-to-let","redeemed","2026-03-10"
"Elderless","015a82a6-39c5-444b-8c7b-a26962b364fa","2028-11-21","buy-to-let","open",""
"Hidecreek","015a84d6-1bf8-4cb7-9595-7c83e9348416","2028-01-24","semi-commercial-buy-to-let","open",""
"Elderless","015cb1d4-8d88-4327-a319-1e6339558fde","2030-09-14","buy-to-let","open",""
"Elderless","015d66db-6cc2-4935-ac6c-742944256581","2030-09-28","buy-to-let","open",""
"Elderless","01643df4-8370-47af-8506-d07a55d20b15","2027-04-12","owner-occupied","open",""
"Elderless","01647085-b270-41ef-ba68-192e0d855c2c","2025-05-31","owner-occupied","switched","2025-05-14"
"Elderless","01671475-371c-448a-bd82-8fd1f1d1a6b7","2026-11-28","buy-to-let","open",""
"Roast Ham","016a6c3f-1adb-436f-8adf-1896fdb39447","2025-09-21","owner-occupied","switched","2025-09-03"
"Roast Ham","016ae2c5-3021-451b-a7d3-6d6501aaf964","2028-07-31","buy-to-let","open",""
"Elderless","01738dcc-7cbe-4a91-a595-7098e35f4bfb","2027-07-26","buy-to-let","open",""
"Roast Ham","017652a2-a957-4c8b-aef1-e759c22f0b31","2027-01-31","owner-occupied","open",""
"Roast Ham","01769fda-601f-4347-9120-2c768d330f27","2029-11-30","buy-to-let","open",""
"Roast Ham","017b43bc-aeb1-4341-8986-8cdbda0ecd03","2030-09-30","owner-occupied","open",""
"Roast Ham","017bfa19-42a9-42bc-8cff-c71fc49feab5","2029-11-30","buy-to-let","open",""
"Elderless","017d2c87-0d87-4dcd-a39a-3988a270a749","2027-10-09","buy-to-let","open",""
"Elderless","017eae83-1b8b-46c5-a46e-5b730165b9c6","2031-03-26","buy-to-let","open",""
"Elderless","017f707d-59fe-4f70-8cb7-72037d5a7ac2","2027-06-30","buy-to-let","open",""
"Elderless","0180bb31-090f-43aa-bf36-7aaa4c79ef04","2028-02-29","buy-to-let","open",""
"Elderless","01828cec-b8c6-465a-bdad-73cd58a4b4c3","2030-12-17","buy-to-let","open",""
"Hidecreek","01836669-23c1-40bd-b69f-dfc27fc308b6","2027-08-11","semi-commercial-buy-to-let","open",""
"Roast Ham","01853dd2-b4d7-45ab-9776-7a76b40e264a","2025-12-28","buy-to-let","redeemed","2025-12-06"
"Roast Ham","018e47b4-4e06-4b62-82b6-a2ee1f01c1f4","2025-07-31","owner-occupied","switched","2025-07-22"
"Elderless","018e5ccf-87c3-4e5a-beca-39fae28669e6","2026-09-30","buy-to-let","redeemed","2025-11-29"
"Elderless","01935c94-01c8-491e-aa89-937fafff6f4c","2030-03-03","buy-to-let","open",""
"Elderless","01953a08-945e-4a0c-af61-bd0bf407b74f","2027-07-31","owner-occupied","open",""
"Elderless","0196c0d1-7508-421e-ba85-d922aa8c7c41","2027-09-30","buy-to-let","open",""
"Elderless","019d1044-afca-4b0b-a383-00c1d4660a4b","2028-03-08","buy-to-let","open",""
"Roast Ham","019db77f-ce06-4aa6-b8b9-32d7a6832a03","2027-03-31","owner-occupied","open",""
"Elderless","019dc9f7-d8f2-41af-8781-189b94676bfd","2027-06-30","buy-to-let","redeemed","2025-12-23"
"Roast Ham","01a04aa1-4145-4d5d-832c-bd4cf7fb1378","2028-01-31","owner-occupied","open",""
"Elderless","01a05054-e22b-4c46-8b56-94afa17bf1c7","2027-10-16","owner-occupied","open",""
"Elderless","01a53f28-1ee1-4b10-99ef-7f14922cd789","2027-04-30","buy-to-let","open",""
"Elderless","01a6b198-bd60-43a9-9ae4-303b4aaecb68","2027-12-07","buy-to-let","open",""
"Elderless","01a7f2ab-0755-4d09-8e58-8ca32509db7f","2031-01-21","buy-to-let","open",""
"California","01aa99d7-c3dd-44e0-9090-8d066d1128e7","2025-10-14","buy-to-let","redeemed","2026-05-29"
"Elderless","01ab150c-089b-4937-b28b-b4e8629d14e9","2029-11-27","buy-to-let","open",""
"Elderless","01aea9a2-3b90-4658-aa93-8b8e946c8e04","2027-04-29","buy-to-let","open",""
"Elderless","01b822d4-fdca-4f39-b873-85b86e217eee","2025-05-31","buy-to-let","open",""
"Elderless","01b88b89-3de4-4d34-94a5-beead54d6ca2","2025-10-31","buy-to-let","switched","2025-10-17"
"Elderless","01bd5d85-1b07-471b-9399-edff38213b9b","2028-12-10","buy-to-let","open",""
"Roast Ham","01bfb3c4-370d-4504-a476-98ae9997dd64","2025-12-31","owner-occupied","switched","2025-09-23"
"Elderless","01c02873-46b0-4444-b4cc-046ca854fec1","2026-11-30","owner-occupied","open",""
"Roast Ham","01c147b5-af93-41a6-af45-2fc34c25e556","2027-11-30","owner-occupied","open",""
"Roast Ham","01c157ee-b134-4125-bd60-2a35d9443ed5","2025-07-31","buy-to-let","switched","2025-06-03"
"Elderless","01c32e56-22c7-49f1-a8ac-deb640f2e985","2029-09-30","buy-to-let","open",""
"Elderless","01c3b9ae-1de9-4842-ad36-85468c39cada","2030-06-19","buy-to-let","open",""
"Hidecreek","01c8d941-3ebf-4b02-8518-e1e22dab4bd9","2025-10-20","buy-to-let","open",""
"Elderless","01c99deb-7f87-413d-a897-07ed8e99f0b1","2027-02-01","buy-to-let","open",""
"Hidecreek","01c99e86-5c20-417b-8fc3-3125b36072e5","2026-03-10","buy-to-let","switched","2026-03-13"
"Elderless","01cbf6f5-0ed3-442b-b268-8630c5232dfd","2028-05-21","buy-to-let","open",""
"Elderless","01d4d2f6-0bec-4637-b370-763c6867072d","2030-05-08","owner-occupied","open",""
"Elderless","01d545db-9ab3-44f3-a19b-8c4b7172d81d","2028-08-31","buy-to-let","redeemed","2025-09-30"
"Roast Ham","01d6d053-82f5-4907-ad2d-cf9a19583a26","2025-08-31","owner-occupied","redeemed","2025-09-02"
"Roast Ham","01d6e778-3435-4de4-b136-9e1f4f934ef3","2030-01-31","owner-occupied","open",""
"Hidecreek","01d8f104-4a13-454d-8afe-5dce1c177b2f","2028-11-03","buy-to-let","open",""
"Elderless","01d9955f-27cf-444c-a7ec-496b749c0f7f","2028-04-22","owner-occupied","open",""
"Elderless","01dcbc9f-f943-4e3e-afd3-29f9bf2a4a0e","2027-05-29","owner-occupied","open",""
"Elderless","01dda052-61b9-4f53-bd7d-4bfdb83c3c37","2029-12-05","buy-to-let","open",""
"Elderless","01de7eb7-a70f-40ea-bbc1-ffc307e9f166","2025-12-31","buy-to-let","redeemed","2026-01-08"
"Elderless","01dea2fc-aea3-4b3a-8e07-9de784cba337","2025-11-28","buy-to-let","switched","2025-09-12"
"Hidecreek","01dfc54e-0754-4bec-b3c5-7c35f2c85286","2030-04-07","buy-to-let","redeemed","2026-02-18"
"Elderless","01e4397a-0628-4a3e-b5ce-30a54a321341","2027-05-30","buy-to-let","open",""
"Elderless","01e835e8-809d-4c8a-953b-67976d97f5f0","2027-04-20","buy-to-let","open",""
"Roast Ham","01e90d34-a332-4bcb-b4d1-b1f9e8e657a3","2026-03-27","owner-occupied","open",""
"Roast Ham","01ecd261-459e-49bb-9eec-97b3550afc13","2028-04-30","owner-occupied","open",""
"Hidecreek","01ef6362-679b-4954-96a1-be543014e1b4","2030-05-23","buy-to-let","open",""
"Roast Ham","01f5bd71-0cf3-4f97-a965-857fa6cc3847","2027-02-28","buy-to-let","open",""
"Roast Ham","01f645cb-addf-46b7-b221-5dd00ff02d8c","2027-10-31","owner-occupied","open",""
"Hidecreek","01f6aedb-87d0-4384-b5c4-874d65fe0699","2031-02-11","semi-commercial-buy-to-let","open",""
"Roast Ham","01f70de3-70f4-484c-bc8c-b7473e2a5057","2030-03-31","buy-to-let","open",""
"Elderless","01f78a65-94ae-4ce3-9f84-94571e61d0d1","2028-08-31","owner-occupied","redeemed","2025-11-14"
"Roast Ham","01fad003-c8be-4df5-825c-52c2772187cd","2025-05-31","buy-to-let","redeemed","2025-05-28"
"Elderless","01fb6356-0a07-46f4-a228-fb796619f2b2","2026-11-30","buy-to-let","open",""
"Roast Ham","02002989-09c3-44cc-aad7-fd592056cdba","2027-01-31","owner-occupied","open",""
"Hidecreek","02016fb6-9db6-4a4f-bbeb-7d40a68fc23f","2030-07-07","semi-commercial-buy-to-let","open",""
"Hidecreek","0202d66c-2754-4f4e-b955-2974b81eb877","2030-04-24","semi-commercial-buy-to-let","open",""
"Elderless","02037c37-6449-4f92-931b-73d35e16f356","2025-11-15","buy-to-let","redeemed","2025-11-27"
"Elderless","020e6296-2309-49ee-8823-dbe0c0599044","2028-05-10","owner-occupied","open",""
"Elderless","020ec5ef-84ab-400c-824a-78719ac38b94","2027-06-23","owner-occupied","open",""
"Elderless","0217a8c0-bb46-42b5-b87c-aa09d23a99ac","2027-09-30","buy-to-let","open",""
"Elderless","02188050-b5c6-4c2a-94ed-5c4e1f4d885f","2025-12-10","buy-to-let","open",""
"Elderless","021bc073-8eb9-4c62-92ae-e5e85a537d99","2028-10-31","owner-occupied","open",""
"Elderless","021eb691-1d57-4047-9067-e4f6fc532a38","2026-07-04","buy-to-let","switched","2026-03-26"
"Elderless","021f170e-5b57-48d2-9876-19cbab276ba0","2028-10-12","buy-to-let","open",""
"Roast Ham","022058be-ae72-45ee-a075-d31c8ecd691c","2027-09-30","owner-occupied","open",""
"Roast Ham","0222f85a-7680-4c1e-b334-2c6709f25293","2026-01-31","buy-to-let","switched","2026-01-27"
"Roast Ham","0223deec-5f06-4e3a-8263-a0e93148c3af","2026-03-31","owner-occupied","open",""
"Roast Ham","022561c5-dd30-44ad-8cfe-6a21d9e15623","2028-04-30","buy-to-let","open",""
"Elderless","0225fb41-5322-4aab-b02f-3887d51ff526","2027-05-31","owner-occupied","open",""
"Elderless","0226f867-62a9-459d-8c14-9f775d1e69b2","2030-09-07","buy-to-let","open",""
"Elderless","02294977-5715-4ab0-88d8-141de3730f66","2030-07-31","buy-to-let","open",""
"Elderless","022bd165-1ffd-47bb-ac40-ab0a6d54b987","2025-11-30","buy-to-let","switched","2025-10-10"
"Elderless","022c81c1-9f76-4222-87b4-3acd67c367a4","2028-05-31","buy-to-let","open",""
"Elderless","022e5044-0ea4-4435-aa28-ad05d25ac627","2029-09-30","owner-occupied","open",""
"Roast Ham","022e8b8c-875d-491f-a857-381d749d0d09","2029-03-31","owner-occupied","open",""
"Elderless","0233978d-1bc7-47d6-9248-c9b619da5e18","2029-02-07","buy-to-let","open",""
"Roast Ham","0239cf53-6cbd-4673-bfb9-f4d36290ddff","2026-05-31","buy-to-let","switched","2026-04-16"
"Roast Ham","023d600b-9167-49a6-9cb3-b606b25a34a0","2027-10-31","owner-occupied","open",""
"Roast Ham","023e1852-605f-4ed4-8ca4-ee5d83296700","2026-08-31","owner-occupied","open",""
"Elderless","023fc4dc-0807-4856-bfb5-6c29920b8c95","2026-10-07","buy-to-let","open",""
"Elderless","0240582a-82d3-4759-a9c7-94c62de94e09","2026-04-30","buy-to-let","switched","2026-03-07"
"Elderless","0241062b-89ad-4c27-ac33-55b52c16e5b2","2028-03-31","buy-to-let","open",""
"Hidecreek","02413055-607a-47a1-b4bd-4cd40d1e312d","2027-01-21","buy-to-let","open",""
"Roast Ham","02458388-942a-4c53-8565-66b970bf5e3f","2030-07-31","buy-to-let","open",""
"Hidecreek","0246daf9-3dee-4782-8af2-afa67d2e939f","2028-03-30","buy-to-let","switched","2026-04-01"
"Roast Ham","02476471-7f8a-4a1c-b610-bd0c376f0a62","2025-05-31","owner-occupied","redeemed","2025-06-03"
"Elderless","0247c4de-dece-4910-97f4-2deb48467ab4","2028-03-15","buy-to-let","open",""
"Elderless","0249746d-4be9-4302-86e2-51a2642824d8","2027-09-15","buy-to-let","open",""
"Elderless","024c5417-33ee-4f8a-b287-eb188997b6cd","2030-09-30","owner-occupied","open",""
"Elderless","024e8bfc-a9c1-467f-90fd-c874fd7042ea","2026-03-31","buy-to-let","redeemed","2026-04-02"
"Elderless","0257193e-6d7b-49d2-9bb7-94ae2da50d9f","2030-11-06","owner-occupied","open",""
"Elderless","025bc231-a123-4e64-b509-6ceddd49693a","2031-02-01","buy-to-let","open",""
"Elderless","025c2040-345d-4d63-823d-df52991366be","2025-12-31","buy-to-let","switched","2025-12-30"
"Elderless","025d72ca-89a2-4a03-9d46-34dab797551e","2027-02-05","buy-to-let","open",""
"Roast Ham","025e85ff-8ed0-4769-8acf-cdd9d3084dc9","2026-12-31","buy-to-let","open",""
"Roast Ham","0260bf6b-0f83-4348-af59-58016b0afa55","2026-03-31","owner-occupied","switched","2026-04-03"
"Elderless","0260c535-9368-4619-9e7c-986ca09de6a9","2031-04-29","buy-to-let","open",""
"Elderless","02613a37-3fb9-45c2-b9b1-9abf5adca79d","2028-02-29","owner-occupied","open",""
"Roast Ham","026170fa-a72c-4f1f-81ea-9377d1e48527","2027-03-31","owner-occupied","open",""
"Roast Ham","0261fb9a-0a3f-4120-bd8b-6bfd483ab13c","2030-02-28","owner-occupied","open",""
"Roast Ham","02628889-534d-4bc9-a016-a4d2a9fc8f43","2028-04-30","owner-occupied","open",""
"Elderless","02655009-7632-407c-a5ea-4903ee8ea7c8","2025-10-31","buy-to-let","switched","2025-08-14"
"Roast Ham","0266a343-8548-4642-899c-188c43078fdc","2026-07-31","owner-occupied","switched","2026-04-24"
"Roast Ham","0266d541-c938-4865-a44d-ea1506d965c4","2027-10-31","buy-to-let","open",""
"Hidecreek","0000f245-06b3-49db-8518-2187e352a62d","2030-07-09","buy-to-let","open",""
"Elderless","00031f61-e2a1-4b23-bf7d-cc8f0602b776","2025-10-31","buy-to-let","switched","2025-07-10"
"Roast Ham","00073b68-04a6-4dbd-b183-06370e93cb26","2028-05-31","owner-occupied","open",""
"Hidecreek","00073c3d-34e4-44af-b58f-d07e23f9d374","2028-07-03","buy-to-let","switched","2026-04-29"
"Elderless","001291d7-7c86-40fc-992c-71f0468aa61d","2030-07-01","buy-to-let","open",""
"Elderless","00173b56-b916-4e38-9067-8d82941777c3","2031-02-09","buy-to-let","open",""
"Elderless","00185bae-ae4c-4381-8eaa-7ef3274b5d4f","2030-07-31","buy-to-let","open",""
"Elderless","0019af00-f262-4179-8363-7b1032cf3b13","2028-07-26","buy-to-let","open",""
"Elderless","001ae195-5b92-4c94-8397-0544d980a162","2027-12-06","buy-to-let","open",""
